* Source:
*
*   http://www.belgocontrol.be/
*
*   AIP Part 2 EN-ROUTE (ENR)
*   ENR 2 AIR TRAFFIC SERVICES AIRSPACE
*    ENR 2.1 FIR, UIR, TMA
*
*   Belgian border data was extracted from
*   http://downloads.cloudmade.com/europe/western_europe/belgium/belgium.poly
*
* Last check: 
*
*   Wim Verhoeve (17 December 2011)
*
* Map List:
* 
*   MAP WEEK           YES
*   MAP WEEKEND        YES
*   MAP WEEKEND_LFAG1  YES
*   MAP WEEKEND_LFAG2  YES
*   MAP WEEKEND_LFAG5  YES
*
* Remark for paragliders:
*   - This is the whole of Belgian airspace => not relevant for paragliding

AC G
AN Brussels FIR
AH FL 195
AL GND
DP 49.465405 N 6.114943 E
DP 49.458195 N 6.101167 E
DP 49.454807 N 6.101317 E
DP 49.453091 N 6.096511 E
DP 49.455902 N 6.088486 E
DP 49.467510 N 6.083636 E
DP 49.472702 N 6.070483 E
DP 49.472893 N 6.063831 E
DP 49.448391 N 6.039283 E
DP 49.449291 N 6.032181 E
DP 49.455105 N 6.024370 E
DP 49.453304 N 6.014864 E
DP 49.456608 N 6.001582 E
DP 49.451008 N 6.000938 E
DP 49.449398 N 5.986540 E
DP 49.455193 N 5.976627 E
DP 49.474697 N 5.974524 E
DP 49.476391 N 5.971906 E
DP 49.479504 N 5.972936 E
DP 49.487999 N 5.964847 E
DP 49.496799 N 5.927832 E
DP 49.498493 N 5.897985 E
DP 49.498108 N 5.888457 E
DP 49.501991 N 5.874832 E
DP 49.505596 N 5.866957 E
